sex,n_hs2,Z1,edu,D1,prevearn,Y1,Z2,D2,earnings,Y2
0,19,0,14,1,2000,0,0,0,13367,1
0,16,0,12,1,8125,1,1,1,15471,1
1,1,0,11,0,400,0,1,0,6489,0
0,9,0,12,1,0,0,0,0,337,0
1,16,0,12,1,0,0,1,1,62715,1
1,19,0,12,1,0,0,1,1,0,0
0,13,0,16,1,3500,0,1,1,56963,1
1,9,0,12,1,200,0,1,1,4998,0
0,16,0,17,1,1440,0,1,1,0,0
0,39,1,13,1,1300,0,1,1,22951,1
1,13,0,15,1,12500,1,1,1,43748,1
1,9,0,11,0,1000,0,0,0,79720,1
0,17,0,12,1,3400,0,1,1,5130,0
0,9,0,9,0,0,0,1,1,2613,0
0,39,1,11,0,7143,1,0,0,9755,0
1,1,0,8,0,0,0,0,0,0,0
1,17,0,12,1,3380,0,1,1,14529,1
0,1,0,8,0,9,0,0,0,12773,1
0,39,1,12,1,8386,1,0,0,24807,1
0,15,0,10,0,0,0,1,1,2115,0
1,19,0,11,0,3000,0,0,0,0,0
0,13,0,14,1,8000,1,1,0,28249,1
0,17,0,12,1,800,0,0,0,447,0
0,13,0,13,1,0,0,0,0,960,0
1,13,0,16,1,0,0,1,0,375,0
1,19,0,9,0,0,0,1,1,2359,0
0,15,0,12,1,4800,0,0,0,22530,1
0,37,1,12,1,0,0,1,1,13280,1
1,39,1,16,1,16700,1,0,0,690,0
1,9,0,10,0,4000,0,1,1,1215,0
0,13,0,13,1,500,0,0,0,395,0
0,2,0,9,0,0,0,1,0,0,0
0,13,0,9,0,12000,1,1,1,39360,1
0,13,0,12,1,5000,0,1,1,12845,1
0,17,0,12,1,16155,1,1,0,634,0
0,17,0,12,1,0,0,0,0,3846,0
1,16,0,12,1,4252,0,1,1,42923,1
0,16,0,12,1,8443,1,1,1,0,0
0,19,0,12,1,0,0,1,0,0,0
0,19,0,12,1,10600,1,1,0,24524,1
1,13,0,14,1,200,0,0,0,87243,1
1,13,0,13,1,12000,1,1,1,30747,1
1,19,0,12,1,5000,0,1,1,62364,1
0,16,0,11,0,300,0,1,1,2614,0
0,5,0,12,1,0,0,1,1,0,0
1,15,0,15,1,7200,1,1,1,31357,1
1,19,0,12,1,0,0,0,0,17194,1
0,15,0,11,0,3826,0,1,1,1087,0
0,37,1,12,1,0,0,1,1,90,0
1,17,0,12,1,1100,0,0,0,861,0
1,13,0,14,1,17000,1,1,1,49490,1
1,39,1,12,1,4548,0,0,0,5199,0
0,13,0,12,1,0,0,1,0,213,0
1,2,0,10,0,0,0,1,0,14132,1
0,17,0,9,0,8340,1,1,0,2260,0
1,39,1,14,1,10000,1,1,1,51183,1
1,17,0,14,1,7200,1,0,0,45354,1
1,0,0,13,1,6516,1,1,1,79278,1
1,37,1,11,0,19000,1,1,1,69042,1
0,9,0,13,1,16000,1,0,0,0,0
1,13,0,12,1,6240,1,1,0,34373,1
1,17,0,11,0,0,0,1,1,3379,0
1,13,0,12,1,3588,0,1,1,46443,1
0,16,0,11,0,0,0,0,0,2036,0
1,19,0,9,0,2000,0,1,1,25767,1
1,19,0,12,1,700,0,1,0,24888,1
0,13,0,10,0,0,0,0,0,75,0
0,15,0,11,0,7630,1,1,1,20058,1
1,15,0,12,1,1080,0,1,1,3594,0
1,15,0,12,1,4000,0,0,0,63423,1
1,15,0,12,1,600,0,1,1,24606,1
0,17,0,9,0,0,0,0,1,18975,1
0,0,0,13,1,7000,1,1,1,20751,1
0,28,0,12,1,4800,0,1,0,31765,1
0,15,0,12,1,1000,0,1,1,15302,1
1,39,1,11,0,1000,0,1,1,12327,1
0,17,0,11,0,0,0,0,0,306,0
0,13,0,10,0,0,0,1,0,17127,1
0,1,0,12,1,2900,0,1,1,18374,1
1,16,0,12,1,13000,1,0,0,68820,1
0,19,0,11,0,6600,1,1,1,0,0
0,346,1,12,1,9000,1,0,0,38945,1
0,346,1,12,1,3000,0,0,0,28804,1
0,40,1,12,1,0,0,1,1,14625,1
1,37,1,12,1,6500,1,0,0,46253,1
0,19,0,12,1,0,0,0,0,0,0
0,13,0,12,1,300,0,0,0,26040,1
1,17,0,12,1,2411,0,1,0,41031,1
0,2,0,9,0,600,0,1,0,8775,0
1,9,0,16,1,2000,0,1,1,321,0
1,16,0,13,1,6711,1,1,1,30837,1
1,19,0,9,0,0,0,0,0,954,0
0,39,1,12,1,4641,0,0,0,5737,0
1,16,0,8,0,24000,1,1,1,82217,1
1,15,0,12,1,400,0,1,1,21616,1
1,13,0,12,1,2200,0,1,1,80166,1
0,19,0,8,0,0,0,1,0,0,0
0,13,0,12,1,160,0,1,1,6821,0
0,19,0,10,0,400,0,0,0,18501,1
0,15,0,14,1,260,0,1,0,0,0
0,0,0,9,0,4848,0,0,0,16332,1
0,39,1,13,1,2003,0,0,0,29452,1
0,17,0,12,1,0,0,1,1,6965,0
0,39,1,14,1,12000,1,1,1,34612,1
0,17,0,12,1,0,0,1,1,1565,0
1,1,0,10,0,0,0,1,1,26334,1
1,2,0,12,1,600,0,0,0,0,0
0,9,0,12,1,0,0,1,0,2322,0
1,9,0,10,0,220,0,1,1,36201,1
1,19,0,11,0,0,0,1,1,6747,0
0,1,0,10,0,10000,1,0,0,0,0
1,15,0,12,1,0,0,0,0,13726,1
1,28,0,8,0,171,0,1,1,2806,0
1,5,0,9,0,11000,1,1,0,48553,1
0,17,0,11,0,1190,0,1,1,978,0
1,16,0,12,1,10080,1,1,1,38743,1
0,17,0,12,1,3000,0,1,1,0,0
1,16,0,16,1,13000,1,1,1,46159,1
0,0,0,11,0,0,0,1,0,18147,1
1,15,0,14,1,7100,1,0,0,13874,1
1,28,0,9,0,2400,0,1,0,13419,1
0,15,0,16,1,2000,0,0,0,20442,1
0,13,0,10,0,0,0,1,1,5311,0
0,39,1,9,0,498,0,1,1,254,0
1,13,0,10,0,1500,0,1,0,2108,0
1,13,0,12,1,2400,0,1,1,24799,1
1,15,0,10,0,8000,1,1,1,18299,1
1,19,0,10,0,0,0,0,0,11010,0
1,2,0,14,1,1500,0,1,0,56087,1
1,39,1,13,1,1100,0,1,0,23453,1
0,1,0,8,0,3744,0,1,0,10101,0
0,13,0,11,0,6500,1,1,1,18009,1
0,13,0,12,1,7800,1,1,0,8945,0
0,1,0,10,0,352,0,1,1,16689,1
0,28,0,11,0,0,0,0,0,0,0
0,9,0,9,0,528,0,0,0,6180,0
0,39,1,13,1,700,0,0,0,0,0
0,16,0,12,1,0,0,0,0,2577,0
0,9,0,14,1,1306,0,1,1,24536,1
0,13,0,9,0,2725,0,1,1,51060,1
0,13,0,12,1,1768,0,1,1,28804,1
1,15,0,14,1,0,0,1,1,13812,1
0,39,1,12,1,0,0,1,0,25700,1
1,13,0,10,0,9800,1,1,1,14291,1
0,1,0,8,0,400,0,1,0,588,0
0,13,0,11,0,0,0,1,0,16919,1
1,39,1,12,1,16000,1,1,1,45958,1
0,39,1,10,0,2574,0,1,0,17289,1
0,17,0,13,1,2000,0,1,1,29797,1
0,39,1,12,1,5394,0,1,1,16417,1
0,19,0,9,0,0,0,1,0,0,0
1,28,0,15,1,7000,1,1,0,39570,1
1,13,0,12,1,1144,0,1,1,0,0
0,13,0,12,1,6000,1,1,0,12615,1
1,2,0,15,1,1200,0,1,1,9219,0
1,13,0,11,0,98,0,1,1,8513,0
1,2,0,9,0,6000,1,0,0,4614,0
0,17,0,12,1,1800,0,1,1,5557,0
1,2,0,14,1,6300,1,0,0,41690,1
0,17,0,11,0,50,0,1,1,23765,1
0,13,0,12,1,12469,1,1,0,33403,1
1,15,0,12,1,554,0,1,1,6930,0
1,19,0,10,0,3000,0,0,0,10953,0
0,17,0,15,1,3880,0,0,0,26475,1
1,13,0,12,1,1223,0,1,0,40629,1
0,19,0,12,1,2400,0,1,1,0,0
1,13,0,11,0,2800,0,1,0,7872,0
0,0,0,10,0,0,0,1,1,26037,1
1,13,0,8,0,2500,0,0,0,10350,0
0,19,0,8,0,1500,0,0,0,6150,0
0,16,0,12,1,0,0,1,1,960,0
1,37,1,10,0,1500,0,0,0,24333,1
1,17,0,10,0,4000,0,1,1,10652,0
0,13,0,12,1,128,0,1,1,21175,1
0,39,1,10,0,2300,0,0,0,11117,0
1,13,0,11,0,8000,1,1,0,3345,0
1,13,0,11,0,31000,1,1,0,61813,1
0,13,0,13,1,1751,0,1,1,21572,1
1,17,0,11,0,918,0,1,1,3732,0
1,9,0,13,1,200,0,1,0,60,0
0,16,0,12,1,8004,1,0,0,27660,1
0,19,0,13,1,3900,0,1,1,45400,1
0,39,1,12,1,638,0,0,0,26314,1
0,13,0,12,1,3920,0,1,0,3330,0
1,16,0,12,1,3500,0,0,0,34531,1
1,40,1,14,1,16872,1,1,1,15218,1
0,13,0,12,1,2508,0,1,0,22662,1
1,39,1,12,1,6803,1,1,0,7501,0
0,13,0,9,0,0,0,0,0,7838,0
1,346,1,8,0,2000,0,1,0,0,0
1,2,0,15,1,10000,1,0,0,18101,1
0,17,0,12,1,0,0,1,1,1839,0
0,17,0,10,0,0,0,1,1,567,0
0,39,1,8,0,5400,0,1,0,21569,1
0,40,1,12,1,15000,1,1,0,62019,1
0,17,0,12,1,4500,0,1,1,12597,1
0,1,0,12,1,6500,1,1,1,39383,1
1,2,0,13,1,1000,0,0,0,1779,0
0,9,0,14,1,2400,0,0,0,23466,1
0,19,0,17,1,10125,1,1,1,22411,1
1,40,1,12,1,0,0,1,1,24049,1
1,19,0,12,1,6300,1,0,0,8315,0
1,0,0,12,1,192,0,0,0,18615,1
1,9,0,12,1,2330,0,1,1,25669,1
1,13,0,12,1,11000,1,0,0,29961,1
1,1,0,12,1,12000,1,0,0,1971,0
0,1,0,8,0,550,0,1,1,981,0
1,13,0,12,1,12000,1,1,1,47142,1
1,17,0,12,1,8850,1,1,1,63075,1
0,37,1,8,0,0,0,1,1,0,0
1,9,0,13,1,0,0,0,0,0,0
0,13,0,10,0,0,0,0,0,1074,0
0,13,0,14,1,4985,0,1,0,5376,0
0,16,0,12,1,0,0,1,1,10185,0
1,13,0,14,1,11500,1,1,1,60033,1
0,2,0,10,0,4000,0,1,0,17863,1
0,17,0,12,1,0,0,1,1,150,0
0,13,0,9,0,1900,0,1,1,28314,1
1,5,0,12,1,600,0,0,0,15850,1
1,13,0,13,1,3000,0,1,0,7512,0
0,9,0,12,1,0,0,1,1,17976,1
0,0,0,11,0,12000,1,1,1,32178,1
0,13,0,9,0,2500,0,1,1,23437,1
0,39,1,14,1,1800,0,1,1,17413,1
0,17,0,12,1,1312,0,0,0,5916,0
1,19,0,8,0,0,0,1,1,36010,1
1,13,0,14,1,7000,1,1,1,56520,1
0,17,0,12,1,500,0,1,1,5850,0
0,13,0,12,1,2600,0,1,0,39102,1
1,13,0,11,0,997,0,1,1,20358,1
0,19,0,12,1,0,0,0,0,0,0
1,13,0,12,1,17000,1,1,1,63719,1
0,40,1,12,1,0,0,0,0,23725,1
0,17,0,11,0,8050,1,1,1,828,0
0,13,0,11,0,3472,0,1,1,26906,1
0,9,0,8,0,0,0,0,0,24,0
1,39,1,15,1,0,0,1,1,5918,0
0,1,0,13,1,11000,1,1,0,36669,1
1,13,0,10,0,2000,0,1,1,4069,0
1,19,0,12,1,0,0,1,1,555,0
1,13,0,11,0,3000,0,1,1,31273,1
0,17,0,14,1,1104,0,1,1,30439,1
0,16,0,12,1,3300,0,1,1,13755,1
0,9,0,12,1,3000,0,0,0,21310,1
1,9,0,11,0,13000,1,1,1,26440,1
0,17,0,14,1,0,0,1,1,5865,0
0,39,1,8,0,0,0,1,0,13825,1
0,13,0,14,1,6000,1,1,1,26013,1
1,19,0,8,0,2080,0,0,0,702,0
0,346,1,12,1,5887,0,1,1,7086,0
0,15,0,8,0,1500,0,0,0,4281,0
1,37,1,12,1,1300,0,0,0,43006,1
1,2,0,11,0,3000,0,1,1,34587,1
0,16,0,12,1,8800,1,1,1,0,0
1,9,0,10,0,4200,0,1,0,10191,0
1,1,0,12,1,8419,1,0,0,11948,1
1,346,1,12,1,1030,0,0,0,4389,0
0,40,1,11,0,400,0,1,1,0,0
0,5,0,9,0,0,0,1,1,0,0
0,13,0,12,1,900,0,1,0,21609,1
0,13,0,10,0,100,0,1,1,2625,0
1,13,0,8,0,550,0,1,0,3723,0
0,17,0,12,1,3289,0,1,1,15223,1
1,1,0,12,1,3301,0,1,0,2343,0
1,19,0,9,0,11960,1,1,1,14466,1
1,13,0,9,0,17000,1,1,1,663,0
1,16,0,10,0,6602,1,1,1,49363,1
1,13,0,10,0,4000,0,1,1,62132,1
1,13,0,12,1,3000,0,1,1,25791,1
0,37,1,10,0,1750,0,1,1,13484,1
0,28,0,10,0,450,0,1,0,29339,1
1,19,0,12,1,0,0,1,1,225,0
1,19,0,11,0,0,0,1,1,10942,0
0,39,1,10,0,4227,0,1,0,10728,0
0,1,0,9,0,11000,1,1,1,5953,0
0,13,0,12,1,1540,0,0,0,0,0
0,9,0,11,0,9000,1,1,1,24971,1
0,15,0,10,0,5000,0,1,1,1479,0
1,1,0,11,0,3000,0,0,0,45465,1
0,13,0,12,1,15028,1,1,1,36091,1
1,13,0,12,1,8000,1,0,0,798,0
0,13,0,16,1,15000,1,0,0,40727,1
0,13,0,12,1,0,0,0,0,1379,0
0,19,0,9,0,0,0,1,1,0,0
0,17,0,9,0,0,0,1,1,2934,0
1,15,0,11,0,94,0,0,0,13,0
1,9,0,11,0,0,0,1,0,651,0
0,1,0,8,0,0,0,1,0,0,0
0,15,0,15,1,400,0,1,1,20196,1
1,1,0,11,0,6220,1,1,1,352,0
0,9,0,11,0,2300,0,1,1,11261,1
1,13,0,11,0,0,0,0,0,5337,0
1,0,0,10,0,700,0,1,1,12747,1
1,39,1,10,0,3900,0,0,0,48024,1
0,1,0,12,1,0,0,0,0,0,0
0,39,1,12,1,28,0,1,1,9931,0
1,13,0,17,1,30000,1,1,0,0,0
1,19,0,9,0,0,0,1,1,15649,1
1,13,0,16,1,35000,1,1,0,636,0
1,16,0,12,1,1400,0,1,1,29302,1
1,19,0,12,1,10200,1,1,1,52197,1
1,19,0,9,0,5400,0,0,0,1541,0
1,13,0,12,1,150,0,1,1,19773,1
0,9,0,8,0,0,0,0,0,0,0
1,1,0,12,1,4500,0,0,0,489,0
0,37,1,10,0,0,0,1,1,10251,0
0,9,0,10,0,2000,0,1,1,18,0
0,0,0,12,1,774,0,0,0,0,0
1,9,0,14,1,0,0,1,1,0,0
1,9,0,12,1,1173,0,1,1,9351,0
1,39,1,12,1,400,0,0,0,2691,0
1,13,0,10,0,0,0,0,0,17537,1
0,1,0,9,0,0,0,0,0,2074,0
1,0,0,11,0,16000,1,1,1,12305,1
1,2,0,12,1,6000,1,1,1,10375,0
1,13,0,12,1,134,0,0,0,13965,1
0,2,0,12,1,3793,0,1,1,28635,1
1,1,0,11,0,8000,1,1,1,13024,1
0,15,0,12,1,5189,0,1,1,12714,1
1,2,0,13,1,3981,0,1,1,15828,1
1,13,0,15,1,0,0,0,0,40418,1
1,37,1,10,0,108,0,1,1,11591,1
0,9,0,13,1,1200,0,1,1,51541,1
1,9,0,12,1,0,0,1,1,5337,0
1,5,0,12,1,0,0,1,1,17263,1
1,0,0,12,1,25183,1,1,1,61398,1
1,2,0,8,0,2400,0,0,0,4943,0
1,1,0,12,1,200,0,1,1,46737,1
1,13,0,10,0,8000,1,0,0,58942,1
0,16,0,10,0,1800,0,1,1,25212,1
0,17,0,8,0,0,0,0,0,3170,0
1,19,0,16,1,0,0,1,1,5337,0
0,2,0,11,0,5136,0,1,1,19094,1
0,13,0,12,1,8500,1,1,1,36153,1
1,1,0,12,1,98,0,1,0,16363,1
1,16,0,17,1,800,0,1,0,33590,1
0,13,0,12,1,0,0,0,0,0,0
1,13,0,11,0,3129,0,1,0,6822,0
0,17,0,12,1,1050,0,1,1,0,0
1,1,0,12,1,14000,1,1,1,52129,1
0,15,0,12,1,3804,0,1,1,12412,1
0,19,0,15,1,398,0,1,0,0,0
0,9,0,12,1,586,0,1,1,13881,1
0,9,0,13,1,7000,1,1,1,15109,1
0,19,0,12,1,700,0,1,0,8187,0
0,17,0,12,1,0,0,1,1,23555,1
1,2,0,9,0,40,0,1,0,7260,0
1,16,0,12,1,15933,1,1,1,0,0
1,9,0,9,0,0,0,1,1,10242,0
1,13,0,9,0,5000,0,1,1,10423,0
1,1,0,14,1,0,0,1,1,27295,1
1,39,1,13,1,0,0,1,1,63416,1
0,1,0,12,1,200,0,0,0,5835,0
1,39,1,12,1,8700,1,0,0,25173,1
0,1,0,10,0,2100,0,0,0,25648,1
1,2,0,13,1,6000,1,0,0,10416,0
0,16,0,9,0,2340,0,1,1,462,0
0,16,0,10,0,500,0,1,1,96,0
0,16,0,12,1,12088,1,1,1,3297,0
0,9,0,10,0,5200,0,1,1,14120,1
1,17,0,12,1,1620,0,1,1,7612,0
0,13,0,12,1,30000,1,0,0,6621,0
0,39,1,12,1,9000,1,0,0,11712,1
0,1,0,10,0,5000,0,0,0,25703,1
1,19,0,10,0,9932,1,1,1,18161,1
1,15,0,11,0,0,0,1,0,0,0
1,346,1,10,0,12480,1,1,1,33687,1
0,13,0,10,0,7080,1,0,0,45264,1
0,13,0,11,0,3228,0,0,0,1368,0
0,17,0,11,0,2664,0,1,1,1128,0
1,13,0,11,0,3000,0,1,1,59739,1
1,15,0,13,1,2000,0,0,0,34585,1
0,1,0,10,0,0,0,1,1,7634,0
0,17,0,12,1,2560,0,0,0,15720,1
1,0,0,12,1,19609,1,1,1,62799,1
1,13,0,11,0,11000,1,0,0,38833,1
1,13,0,13,1,400,0,1,0,594,0
0,9,0,12,1,12000,1,0,0,2172,0
0,2,0,13,1,400,0,1,1,19707,1
1,9,0,10,0,2000,0,0,0,883,0
1,9,0,12,1,5907,0,0,0,25305,1
0,15,0,12,1,4800,0,0,0,44727,1
1,13,0,9,0,8284,1,1,0,3303,0
0,17,0,12,1,5060,0,1,1,20079,1
1,19,0,9,0,2308,0,1,1,2053,0
0,39,1,14,1,4000,0,1,1,1644,0
1,15,0,11,0,6000,1,1,1,51410,1
1,19,0,12,1,2200,0,0,0,0,0
1,17,0,12,1,2000,0,1,0,606,0
1,13,0,12,1,3220,0,1,0,0,0
1,17,0,12,1,3560,0,1,1,13506,1
1,17,0,12,1,500,0,1,1,20396,1
0,9,0,12,1,10600,1,1,1,37388,1
1,9,0,8,0,12,0,0,0,0,0
0,17,0,14,1,6000,1,1,1,18393,1
1,9,0,15,1,1800,0,1,0,19358,1
1,0,0,12,1,0,0,1,1,13821,1
1,15,0,10,0,12000,1,0,0,65805,1
1,19,0,8,0,0,0,1,1,40756,1
0,9,0,10,0,1735,0,1,0,41892,1
0,1,0,12,1,400,0,1,1,19099,1
1,13,0,14,1,12000,1,1,1,29417,1
1,37,1,12,1,0,0,1,0,44804,1
0,13,0,12,1,4686,0,0,0,27842,1
0,19,0,12,1,0,0,0,0,0,0
1,19,0,12,1,300,0,0,0,7767,0
1,2,0,14,1,1000,0,0,0,0,0
0,17,0,11,0,4473,0,1,1,11477,1
0,15,0,12,1,9000,1,1,1,26223,1
0,13,0,14,1,0,0,1,0,15651,1
0,13,0,12,1,6000,1,1,1,8581,0
